QuestionId,SectionCode,language_iso_code,subject_id,subject_name,grade_id,grade_url_text,country_iso_code,parent_id,IsSuccess,Error Message,Error Type,Warning Message
142157197056,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,583101939827,True,,,
153196986259,436169084952,fr,596139672187,Mathematics,747181064157,7,zz,356182123108,True,,,
154103794321,815193916062,ar,759129548570,تكنولوجيا المعلومات والاتصالات,898134813215,11,eg,905180797323,True,,,
165178467537,182193951937,pt,507192767485,Mathematics,612152797413,6,zz,102101560845,True,,,
183179603159,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,213129827247,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt | Part 2 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
212192398218,917189021362,pt,986160321713,Mathematics,934185068749,10,eg,814150378713,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
273123157217,769101818624,ar,108185721980,الكيمياء,934185068749,10,eg,965106753767,True,,,
278171702932,829128916010,pt,876139201973,Mathematics,898134813215,11,eg,192187680937,True,,,
284148709450,917191419130,fr,916194089098,Mathématiques,934185068749,10,eg,894189435806,True,,,
304146825376,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,809193816729,True,,,
307167027216,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,838193492572,True,,,
342134679382,946129019079,pt,929137643561,Mathematics,206134038329,2,eg,674128047829,True,,,
363102067906,769101818624,ar,108185721980,الكيمياء,934185068749,10,eg,812169842632,True,,,
364197356929,148145632901,ar,629163908605,الرياضيات,753160982640,1,zz,692140762180,True,,,
378195038705,182192034538,es,493140928097,Mathematics,612152797413,6,zz,102101560845,True,,,
418191508902,946129019079,pt,929137643561,Mathematics,206134038329,2,eg,284151782012,True,,,
425121493728,698135858152,es,215181641502,Mathematics,195136132631,8,eg,492136862704,True,,,
434109527149,854152430981,pt,796174902818,Mathematics,424170340194,9,eg,712162089131,True,,,
434132129536,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,182193214874,True,,,
437185427604,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,328168478092,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
457184975404,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,754145191895,True,,,
482143686859,907102452157,pt,436197672361,Mathematics,464173946403,7,eg,372191561439,True,,,
503185912476,954157280848,ar,829135270943,الكيمياء,979180725863,12,eg,460128731423,True,,,
575174502025,182192809456,fr,429156043953,Mathematics,612152797413,6,zz,102101560845,True,,,
598180962904,917198349203,pt,635185607087,Mathematics,979180725863,12,eg,583101939827,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
613194510486,917198349203,pt,635185607087,Mathematics,979180725863,12,eg,680151525178,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
676185135748,769101818624,ar,108185721980,الكيمياء,934185068749,10,eg,830107469307,True,,,
683108672808,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,319179292468,True,,,
692164087928,436170972865,pt,605197106901,Mathematics,747181064157,7,zz,878185726928,True,,,
697192840107,917189021362,pt,986160321713,Mathematics,934185068749,10,eg,896104059419,True,,,
726149410963,938197912174,pt,272104131931,Mathematics,923158968214,3,eg,647135142457,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
732125808656,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,319179292468,True,,,
732132161529,917191419130,fr,916194089098,Mathématiques,934185068749,10,eg,814150378713,True,,,
752160415080,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,265106268476,True,,,
753139701252,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,815180629212,True,,,
758167194917,867152120503,es,352174232873,Mathematics,979180725863,12,eg,606149712045,True,,,
814158535313,917191419130,fr,916194089098,Mathématiques,934185068749,10,eg,896104059419,True,,,
823105812829,769101818624,ar,108185721980,الكيمياء,934185068749,10,eg,613187323568,True,,,
823124746863,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,479153864293,True,,,
824105087346,854152430981,pt,796174902818,Mathematics,424170340194,9,eg,913183869394,True,,,
835138397498,182185614687,ar,196192747520,الرياضيات,612152797413,6,zz,102101560845,True,,,
848137207904,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,495135682942,True,,,
850134768476,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,265106268476,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
856104291293,173180876750,pt,507192767485,Mathematics,612152797413,6,zz,919167498193,True,,,
875172693297,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,754145191895,True,,,
902139397164,917198752853,fr,464169569783,Mathématiques,979180725863,12,eg,627137167672,True,,,
903164192480,942160302463,fr,547104524271,Mathématiques,464173946403,7,eg,123139253835,True,,,
908180472629,436169084952,fr,596139672187,Mathematics,747181064157,7,zz,878185726928,True,,,
908193510303,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,182193214874,True,,,
913193504838,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,838193492572,True,,,
925106425634,436170972865,pt,605197106901,Mathematics,747181064157,7,zz,356182123108,True,,,
936131398542,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,535194791797,True,,,
939180946174,683128905713,es,570157275265,Mathematics,923158968214,3,eg,105161714325,True,,,
945153294383,917181292108,fr,107123209036,Mathématiques,424170340194,9,eg,909176097482,True,,,
949132586279,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,974189136010,True,,,
950150579607,917180190168,pt,796174902818,Mathematics,424170340194,9,eg,909176097482,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
975124503470,917198349203,pt,635185607087,Mathematics,979180725863,12,eg,713140309578,False,"Part 1 (mcq): Must have at most 4 choices, found 5 as country is Egypt",Pre-Conversion Validation,
989105615713,812195863739,es,453176392827,Mathematics,424170340194,9,eg,492192430258,True,,,
